date,time,action,option_code,option_name,option_type,direction,strike,expiry,price,premium_value,commission,pnl,reason,expiry_info
2026-03-20,09:45,买入开仓,159915认260403350,创业板ETF认4月3350,认购,long,3.35,2026-04-22,0.215545,2155.45,5.0,0.0,09:45确认↑1.03%,4月合约(剩6交易日)
2026-03-20,13:00,卖出对冲,159915认260403500,创业板ETF认4月3500,认购,short,3.5,2026-04-22,0.167,1670.0,5.0,0.0,连续2次浮盈7.9%→对冲,4月合约(剩6交易日)
2026-03-20,14:45,卖出平仓,159915认260403350,创业板ETF认4月3350,认购,long,3.35,2026-04-22,0.200473,2004.73,5.0,-155.73,14:45强平,4月合约(剩6交易日)
2026-03-20,14:45,买入平仓,159915认260403500,创业板ETF认4月3500,认购,short,3.5,2026-04-22,0.141684,1416.84,5.0,248.16,14:45强平,4月合约(剩6交易日)
2026-03-23,09:45,买入开仓,159915认260403300,创业板ETF认4月3300,认沽,long,3.3,2026-04-22,0.171094,1710.94,5.0,0.0,09:45确认↓-1.23%,4月合约(剩5交易日)
2026-03-23,11:30,卖出对冲,159915认260403150,创业板ETF认4月3150,认沽,short,3.15,2026-04-22,0.113308,1133.08,5.0,0.0,连续2次浮盈10.6%→对冲,4月合约(剩5交易日)
2026-03-23,14:45,卖出平仓,159915认260403300,创业板ETF认4月3300,认沽,long,3.3,2026-04-22,0.21413,2141.3,5.0,425.36,14:45强平,4月合约(剩5交易日)
2026-03-23,14:45,买入平仓,159915认260403150,创业板ETF认4月3150,认沽,short,3.15,2026-04-22,0.131643,1316.43,5.0,-188.35,14:45强平,4月合约(剩5交易日)
2026-03-25,09:45,买入开仓,159915认260403300,创业板ETF认4月3300,认购,long,3.3,2026-04-22,0.181771,1817.71,5.0,0.0,09:45确认↑1.30%,4月合约(剩3交易日)
2026-03-25,13:45,卖出对冲,159915认260403400,创业板ETF认4月3400,认购,short,3.4,2026-04-22,0.149378,1493.78,5.0,0.0,连续2次浮盈5.4%→对冲,4月合约(剩3交易日)
2026-03-25,14:45,卖出平仓,159915认260403300,创业板ETF认4月3300,认购,long,3.3,2026-04-22,0.187285,1872.85,5.0,50.14,14:45强平,4月合约(剩3交易日)
2026-03-25,14:45,买入平仓,159915认260403400,创业板ETF认4月3400,认购,short,3.4,2026-04-22,0.145794,1457.94,5.0,30.84,14:45强平,4月合约(剩3交易日)
2026-03-27,09:45,买入开仓,159915认260403250,创业板ETF认4月3250,认沽,long,3.25,2026-04-22,0.165863,1658.63,5.0,0.0,09:45确认↓-0.67%,4月合约(剩1交易日)
2026-03-27,10:30,反手平仓,159915认260403250,创业板ETF认4月3250,认沽,long,3.25,2026-04-22,0.147708,1477.08,5.0,-186.55,偏离0.93%反手,4月合约(剩1交易日)
2026-03-27,10:30,反手开仓,159915认260403250,创业板ETF认4月3250,认购,long,3.25,2026-04-22,0.189274,1892.74,5.0,0.0,反手→认购,4月合约(剩1交易日)
2026-03-27,13:30,卖出对冲,159915认260403400,创业板ETF认4月3400,认购,short,3.4,2026-04-22,0.138115,1381.15,5.0,0.0,连续2次浮盈7.2%→对冲,4月合约(剩1交易日)
2026-03-27,14:45,卖出平仓,159915认260403250,创业板ETF认4月3250,认购,long,3.25,2026-04-22,0.196268,1962.68,5.0,64.94,14:45强平,4月合约(剩1交易日)
2026-03-27,14:45,买入平仓,159915认260403400,创业板ETF认4月3400,认购,short,3.4,2026-04-22,0.132948,1329.48,5.0,46.67,14:45强平,4月合约(剩1交易日)
2026-03-30,09:45,买入开仓,159915认260403250,创业板ETF认4月3250,认沽,long,3.25,2026-04-22,0.14664,1466.4,5.0,0.0,09:45确认↓-1.55%,4月合约(剩0交易日)
2026-03-30,10:15,卖出对冲,159915认260403150,创业板ETF认4月3150,认沽,short,3.15,2026-04-22,0.111159,1111.59,5.0,0.0,连续2次浮盈10.5%→对冲,4月合约(剩0交易日)
2026-03-30,11:30,反手平仓,159915认260403250,创业板ETF认4月3250,认沽,long,3.25,2026-04-22,0.141182,1411.82,5.0,-59.58,偏离0.80%反手,4月合约(剩0交易日)
2026-03-30,11:30,反手开仓,159915认260403250,创业板ETF认4月3250,认购,long,3.25,2026-04-22,0.178716,1787.16,5.0,0.0,反手→认购,4月合约(剩0交易日)
2026-03-30,14:45,买入平仓,159915认260403150,创业板ETF认4月3150,认沽,short,3.15,2026-04-22,0.096615,966.15,5.0,140.44,14:45强平,4月合约(剩0交易日)
2026-03-30,14:45,卖出平仓,159915认260403250,创业板ETF认4月3250,认购,long,3.25,2026-04-22,0.175154,1751.54,5.0,-40.62,14:45强平,4月合约(剩0交易日)
