date,time,action,option_code,option_name,option_type,direction,strike,expiry,price,premium_value,commission,pnl,reason,expiry_info
2026-01-08,09:45,买入开仓,159915认260103300,创业板ETF认1月3300,认沽,long,3.3,2026-01-28,0.147155,1471.55,5.0,0.0,09:45确认↓-0.60%,1月合约(剩14交易日)
2026-01-08,10:45,卖出对冲,159915认260103150,创业板ETF认1月3150,认沽,short,3.15,2026-01-28,0.086311,863.11,5.0,0.0,连续2次浮盈8.0%→对冲,1月合约(剩14交易日)
2026-01-08,14:45,卖出平仓,159915认260103300,创业板ETF认1月3300,认沽,long,3.3,2026-01-28,0.149656,1496.56,5.0,20.02,14:45强平,1月合约(剩14交易日)
2026-01-08,14:45,买入平仓,159915认260103150,创业板ETF认1月3150,认沽,short,3.15,2026-01-28,0.079951,799.51,5.0,58.6,14:45强平,1月合约(剩14交易日)
2026-01-15,09:45,买入开仓,159915认260103300,创业板ETF认1月3300,认沽,long,3.3,2026-01-28,0.116241,1162.41,5.0,0.0,09:45确认↓-0.78%,1月合约(剩9交易日)
2026-01-15,10:30,反手平仓,159915认260103300,创业板ETF认1月3300,认沽,long,3.3,2026-01-28,0.102449,1024.49,5.0,-142.92,偏离0.97%反手,1月合约(剩9交易日)
2026-01-15,10:30,反手开仓,159915认260103350,创业板ETF认1月3350,认购,long,3.35,2026-01-28,0.131931,1319.31,5.0,0.0,反手→认购,1月合约(剩9交易日)
2026-01-15,14:45,卖出平仓,159915认260103350,创业板ETF认1月3350,认购,long,3.35,2026-01-28,0.138195,1381.95,5.0,57.64,14:45强平,1月合约(剩9交易日)
2026-01-16,09:45,买入开仓,159915认260103400,创业板ETF认1月3400,认购,long,3.4,2026-01-28,0.12623,1262.3,5.0,0.0,09:45确认↑0.89%,1月合约(剩8交易日)
2026-01-16,11:15,反手平仓,159915认260103400,创业板ETF认1月3400,认购,long,3.4,2026-01-28,0.112524,1125.24,5.0,-142.06,偏离-0.87%反手,1月合约(剩8交易日)
2026-01-16,11:15,反手开仓,159915认260103350,创业板ETF认1月3350,认沽,long,3.35,2026-01-28,0.116677,1166.77,5.0,0.0,反手→认沽,1月合约(剩8交易日)
2026-01-16,14:45,卖出平仓,159915认260103350,创业板ETF认1月3350,认沽,long,3.35,2026-01-28,0.119341,1193.41,5.0,21.65,14:45强平,1月合约(剩8交易日)
2026-01-19,09:45,买入开仓,159915认260103300,创业板ETF认1月3300,认沽,long,3.3,2026-01-28,0.098612,986.12,5.0,0.0,09:45确认↓-0.57%,1月合约(剩7交易日)
2026-01-19,14:45,卖出平仓,159915认260103300,创业板ETF认1月3300,认沽,long,3.3,2026-01-28,0.093849,938.49,5.0,-52.63,14:45强平,1月合约(剩7交易日)
2026-01-21,09:45,买入开仓,159915认260203250,创业板ETF认2月3250,认沽,long,3.25,2026-02-25,0.18255,1825.5,5.0,0.0,09:45确认↓-0.61%,2月合约(剩19交易日)
2026-01-21,11:30,反手平仓,159915认260203250,创业板ETF认2月3250,认沽,long,3.25,2026-02-25,0.168176,1681.76,5.0,-148.74,偏离0.87%反手,2月合约(剩19交易日)
2026-01-21,11:30,反手开仓,159915认260203250,创业板ETF认2月3250,认购,long,3.25,2026-02-25,0.212786,2127.86,5.0,0.0,反手→认购,2月合约(剩19交易日)
2026-01-21,14:45,卖出平仓,159915认260203250,创业板ETF认2月3250,认购,long,3.25,2026-02-25,0.21759,2175.9,5.0,43.03,14:45强平,2月合约(剩19交易日)
2026-01-22,09:45,买入开仓,159915认260203300,创业板ETF认2月3300,认购,long,3.3,2026-02-25,0.201353,2013.53,5.0,0.0,09:45确认↑0.52%,2月合约(剩18交易日)
2026-01-22,14:45,卖出平仓,159915认260203300,创业板ETF认2月3300,认购,long,3.3,2026-02-25,0.209753,2097.53,5.0,79.0,14:45强平,2月合约(剩18交易日)
2026-02-03,09:45,买入开仓,159915认260203300,创业板ETF认2月3300,认购,long,3.3,2026-02-25,0.179461,1794.61,5.0,0.0,09:45确认↑1.54%,2月合约(剩10交易日)
2026-02-03,14:45,卖出平仓,159915认260203300,创业板ETF认2月3300,认购,long,3.3,2026-02-25,0.175116,1751.16,5.0,-48.45,14:45强平,2月合约(剩10交易日)
2026-02-04,09:45,买入开仓,159915认260203250,创业板ETF认2月3250,认沽,long,3.25,2026-02-25,0.140528,1405.28,5.0,0.0,09:45确认↓-0.69%,2月合约(剩9交易日)
2026-02-04,14:45,卖出平仓,159915认260203250,创业板ETF认2月3250,认沽,long,3.25,2026-02-25,0.122011,1220.11,5.0,-190.17,14:45强平,2月合约(剩9交易日)
2026-02-05,09:45,买入开仓,159915认260203250,创业板ETF认2月3250,认沽,long,3.25,2026-02-25,0.138541,1385.41,5.0,0.0,09:45确认↓-1.00%,2月合约(剩8交易日)
2026-02-05,14:15,卖出对冲,159915认260203150,创业板ETF认2月3150,认沽,short,3.15,2026-02-25,0.099791,997.91,5.0,0.0,连续2次浮盈7.9%→对冲,2月合约(剩8交易日)
2026-02-05,14:45,卖出平仓,159915认260203250,创业板ETF认2月3250,认沽,long,3.25,2026-02-25,0.146983,1469.83,5.0,79.42,14:45强平,2月合约(剩8交易日)
2026-02-05,14:45,买入平仓,159915认260203150,创业板ETF认2月3150,认沽,short,3.15,2026-02-25,0.09783,978.3,5.0,14.61,14:45强平,2月合约(剩8交易日)
2026-02-06,09:45,买入开仓,159915认260203200,创业板ETF认2月3200,认沽,long,3.2,2026-02-25,0.141393,1413.93,5.0,0.0,09:45确认↓-0.86%,2月合约(剩7交易日)
2026-02-06,10:45,反手平仓,159915认260203200,创业板ETF认2月3200,认沽,long,3.2,2026-02-25,0.114947,1149.47,5.0,-269.46,偏离1.12%反手,2月合约(剩7交易日)
2026-02-06,10:45,反手开仓,159915认260203250,创业板ETF认2月3250,认购,long,3.25,2026-02-25,0.154562,1545.62,5.0,0.0,反手→认购,2月合约(剩7交易日)
2026-02-06,14:45,卖出平仓,159915认260203250,创业板ETF认2月3250,认购,long,3.25,2026-02-25,0.145503,1455.03,5.0,-95.59,14:45强平,2月合约(剩7交易日)
2026-02-09,09:45,买入开仓,159915认260203300,创业板ETF认2月3300,认购,long,3.3,2026-02-25,0.144203,1442.03,5.0,0.0,09:45确认↑1.83%,2月合约(剩6交易日)
2026-02-09,14:45,卖出平仓,159915认260203300,创业板ETF认2月3300,认购,long,3.3,2026-02-25,0.158333,1583.33,5.0,136.3,14:45强平,2月合约(剩6交易日)
2026-02-24,09:45,买入开仓,159915认260303300,创业板ETF认3月3300,认购,long,3.3,2026-03-25,0.194334,1943.34,5.0,0.0,09:45确认↑1.62%,3月合约(剩21交易日)
2026-02-24,10:00,反手平仓,159915认260303300,创业板ETF认3月3300,认购,long,3.3,2026-03-25,0.185143,1851.43,5.0,-96.91,偏离-0.80%反手,3月合约(剩21交易日)
2026-02-24,10:00,反手开仓,159915认260303300,创业板ETF认3月3300,认沽,long,3.3,2026-03-25,0.172006,1720.06,5.0,0.0,反手→认沽,3月合约(剩21交易日)
2026-02-24,14:45,卖出平仓,159915认260303300,创业板ETF认3月3300,认沽,long,3.3,2026-03-25,0.1697,1697.0,5.0,-28.06,14:45强平,3月合约(剩21交易日)
2026-02-27,09:45,买入开仓,159915认260303300,创业板ETF认3月3300,认沽,long,3.3,2026-03-25,0.155311,1553.11,5.0,0.0,09:45确认↓-0.78%,3月合约(剩18交易日)
2026-02-27,14:45,卖出平仓,159915认260303300,创业板ETF认3月3300,认沽,long,3.3,2026-03-25,0.159282,1592.82,5.0,34.72,14:45强平,3月合约(剩18交易日)
2026-03-02,09:45,买入开仓,159915认260303250,创业板ETF认3月3250,认沽,long,3.25,2026-03-25,0.150054,1500.54,5.0,0.0,09:45确认↓-1.51%,3月合约(剩17交易日)
2026-03-02,13:00,反手平仓,159915认260303250,创业板ETF认3月3250,认沽,long,3.25,2026-03-25,0.132227,1322.27,5.0,-183.27,偏离1.11%反手,3月合约(剩17交易日)
2026-03-02,13:00,反手开仓,159915认260303300,创业板ETF认3月3300,认购,long,3.3,2026-03-25,0.165231,1652.31,5.0,0.0,反手→认购,3月合约(剩17交易日)
2026-03-02,14:45,卖出平仓,159915认260303300,创业板ETF认3月3300,认购,long,3.3,2026-03-25,0.162523,1625.23,5.0,-32.08,14:45强平,3月合约(剩17交易日)
2026-03-03,09:45,买入开仓,159915认260303300,创业板ETF认3月3300,认购,long,3.3,2026-03-25,0.176634,1766.34,5.0,0.0,09:45确认↑0.64%,3月合约(剩16交易日)
2026-03-03,10:00,反手平仓,159915认260303300,创业板ETF认3月3300,认购,long,3.3,2026-03-25,0.15666,1566.6,5.0,-204.73,偏离-0.84%反手,3月合约(剩16交易日)
2026-03-03,10:00,反手开仓,159915认260303300,创业板ETF认3月3300,认沽,long,3.3,2026-03-25,0.162073,1620.73,5.0,0.0,反手→认沽,3月合约(剩16交易日)
